date,high,low,open,close,volume,quoteVolume,weightedAverage
1596283200,11805.55660019,11805.55660019,11805.55660019,11805.55660019,0.0,0.0,11805.55660019
1596326400,12100.35457001,10500.0,11799.80071396,11068.99737026,40645158.18844188,3600.51586605,11288.70409145
1596412800,11467.0,10943.7609,11076.25579052,11223.0,14895498.05505171,1322.95620398,11259.25258163
1596499200,11408.5077607,11021.29138235,11223.0,11190.41613091,11564687.55760493,1031.99607999,11206.13516062
1596585600,11775.41866709,11093.03773797,11190.41613091,11741.19548995,14261874.80695348,1240.5286454,11496.61062631
1596672000,11897.02187499,11564.64182109,11741.19548995,11762.87224348,13612009.23677974,1158.07995793,11753.94595474
1596758400,11906.8612,11304.73294886,11763.11058173,11594.20439765,19954632.61470833,1713.92409123,11642.65833989
1596844800,11800.0,11517.9967,11594.20439765,11760.4640057,10472277.9020827,897.09788608,11673.50638606
1596931200,11790.0,11510.00000001,11756.65797017,11681.37925957,10761459.10430986,924.76407294,11636.97792681
1597017600,12052.55522724,11506.0,11682.20664789,11889.99999999,19021806.14912207,1604.38167231,11856.16021263
1597104000,11932.19490353,11133.92294077,11889.99999999,11395.54,23216066.82906769,2004.35187036,11582.82992741
1597190400,11615.1944744,11166.11338971,11395.54000001,11565.67688365,17441996.74366962,1521.99347787,11459.96812553
1597276800,11788.74567499,11279.0,11566.48543876,11774.90300319,14293037.8122504,1238.80508304,11537.7616769
1597363200,11849.08635857,11636.14090557,11775.51644794,11755.71338807,10271935.43615628,875.08499566,11738.2145587
1597449600,11975.0,11690.0,11755.71338808,11851.315825,11475058.12193199,966.79185089,11869.21270733
1597536000,11931.70093536,11689.3046812,11846.09242049,11907.76911028,10564299.45059602,892.519217,11836.49522539
1597622400,12446.53959459,11755.748596,11907.76911026,12282.77484025,22162279.46097455,1829.91500701,12111.0977155
1597708800,12383.03179999,11827.22200002,12281.63930234,11950.0,17126464.67269374,1419.18871006,12067.78531374
1597795200,12019.24324465,11567.79005967,11950.59753442,11750.0,17679665.9338896,1502.30242955,11768.38004527
1597881600,11878.79859289,11672.54848238,11757.1988,11856.72340738,10340234.75462422,877.12945988,11788.72130921
1597968000,11878.16781387,11494.0,11853.9295737,11527.47642423,12330256.41368194,1053.63796183,11702.55520431
1598054400,11686.45507973,11375.12681338,11527.44647069,11667.36999151,7433553.29739761,644.06474458,11541.62428537
1598140800,11713.94137171,11516.58048111,11665.72574094,11647.23027731,6922738.66973278,595.19520312,11631.03908338
1598227200,11824.46603607,11588.68606715,11647.23027732,11749.27554962,8623945.368133,734.69393316,11738.14697372
1598313600,11765.0,11122.0585378,11745.66781718,11323.25286392,16426421.25282807,1433.16478396,11461.6417014
1598400000,11535.5829716,11250.56260546,11322.99092341,11460.7,13248133.1706152,1161.03995318,11410.57474751
1598486400,11583.01953325,11127.48219999,11461.88455755,11328.72873659,17139820.34644193,1512.93945991,11328.82101406
1598572800,11535.69034297,11278.07480414,11330.42604555,11521.49419993,8365380.72919805,732.14297537,11425.88402896
1598659200,11575.00000001,11426.0,11522.74793344,11468.30704006,6131657.07451269,533.22395582,11499.21530641
1598745600,11714.59342243,11460.88109017,11467.19451804,11714.59342243,6687008.17239528,575.92412318,11610.91870136
1598832000,11780.0,11572.80363585,11709.37999404,11650.0,10410767.17453682,891.02603875,11684.0212539
1598918400,12049.01449326,11539.73306286,11650.0,11921.44289859,17159443.95395626,1445.41040189,11871.67598318
1599004800,11948.5581175,11167.05921728,11917.53439255,11385.839297,25039992.5424166,2176.11057561,11506.76478625
